figure,panel_id,quantity,value,source_file,computation
Figure 2,F2_C,"exact P value, PproA-flhDC",0.021,build/statistics/Figure_2/C/F2_C_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 2,F2_C,"exact P value, PproB-flhDC",0.17,build/statistics/Figure_2/C/F2_C_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 2,F2_C,"exact P value, PproD-flhDC",0.071,build/statistics/Figure_2/C/F2_C_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 2,F2_C,"smallest Benjamini-Hochberg q value, three Ppro strains against Ppro1-flhDC",0.063,build/statistics/Figure_2/C/F2_C_statistics.csv,the smallest q_value_bh of the panel's correction family
Figure 2,F2_C,"largest Benjamini-Hochberg q value, three Ppro strains against Ppro1-flhDC",0.17,build/statistics/Figure_2/C/F2_C_statistics.csv,the largest q_value_bh of the panel's correction family
Figure 3,F3_B,"exact P value, ΔflhDC",4.2 × 10^-5,build/statistics/Figure_3/B/F3_B_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_B,"exact P value, ΔflgE",2.9 × 10^-6,build/statistics/Figure_3/B/F3_B_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_B,"exact P value, ΔflgKL",0.077,build/statistics/Figure_3/B/F3_B_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_B,"exact P value, motB (D33N)",0.027,build/statistics/Figure_3/B/F3_B_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_B,"exact P value, ΔflgM flhAΔc",0.086,build/statistics/Figure_3/B/F3_B_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_B,"smallest Benjamini-Hochberg q value, five assembly mutants against the same-day WT",1.4 × 10^-5,build/statistics/Figure_3/B/F3_B_statistics.csv,the smallest q_value_bh of the panel's correction family
Figure 3,F3_B,"largest Benjamini-Hochberg q value, five assembly mutants against the same-day WT",0.086,build/statistics/Figure_3/B/F3_B_statistics.csv,the largest q_value_bh of the panel's correction family
Figure 3,F3_C,"exact P value, ΔflhDC",0.049,build/statistics/Figure_3/C/F3_C_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_C,"exact P value, ΔflgE",0.11,build/statistics/Figure_3/C/F3_C_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_C,"exact P value, ΔflgKL",0.11,build/statistics/Figure_3/C/F3_C_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_C,"exact P value, motB (D33N)",0.41,build/statistics/Figure_3/C/F3_C_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_C,"exact P value, ΔflgM flhAΔc",0.020,build/statistics/Figure_3/C/F3_C_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_C,"smallest Benjamini-Hochberg q value, five assembly mutants against the replicate WT",0.10,build/statistics/Figure_3/C/F3_C_statistics.csv,the smallest q_value_bh of the panel's correction family
Figure 3,F3_C,"largest Benjamini-Hochberg q value, five assembly mutants against the replicate WT",0.41,build/statistics/Figure_3/C/F3_C_statistics.csv,the largest q_value_bh of the panel's correction family
Figure 3,F3_E,"exact P value against the same-day ΔflhDC reference, Rotating flagella",2.2 × 10^-5,build/statistics/Figure_3/E/F3_E_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_E,"exact P value against the same-day ΔflhDC reference, Non-rotating flagella",0.00050,build/statistics/Figure_3/E/F3_E_statistics.csv,"the p_value_paired_t column of that comparison row, to two significant figures"
Figure 3,F3_E,"smallest Benjamini-Hochberg q value, two rotation conditions",4.4 × 10^-5,build/statistics/Figure_3/E/F3_E_statistics.csv,the smallest q_value_bh of the panel's correction family
Figure 3,F3_E,"largest Benjamini-Hochberg q value, two rotation conditions",0.00050,build/statistics/Figure_3/E/F3_E_statistics.csv,the largest q_value_bh of the panel's correction family
Figure 4,F4_B,"exact P value, ribosomal-sector slope against flagellar allocation",0.00021,build/statistics/Figure_4/B/A1_sector_regressions.csv,"the p_value of the Rib row, a two-sided test that the slope is zero"
Figure 4,F4_B,"Benjamini-Hochberg q value, ribosomal-sector slope",0.0015,build/statistics/Figure_4/B/A1_sector_regressions.csv,"the p_bh of the Rib row, corrected over the seven non-flagellar sectors"
Figure 4,F4_B,ribosomal-sector slope with its 95% confidence interval,-1.49 (95% CI -1.81 to -1.17),build/statistics/Figure_4/B/A1_sector_regressions.csv,"the slope, slope_ci95_low and slope_ci95_high of the Rib row"
Figure 6,F6_B,"exact P value, Ppro1 - WT",3.8 × 10^-8,build/statistics/Figure_6/B/Figure_6B_paired_statistics.csv,"the exact_p_value column of that comparison row, to two significant figures"
Figure 6,F6_B,"exact P value, PproA - WT",4.5 × 10^-5,build/statistics/Figure_6/B/Figure_6B_paired_statistics.csv,"the exact_p_value column of that comparison row, to two significant figures"
Figure 6,F6_B,"exact P value, PproB - WT",1.5 × 10^-6,build/statistics/Figure_6/B/Figure_6B_paired_statistics.csv,"the exact_p_value column of that comparison row, to two significant figures"
Figure 6,F6_B,"exact P value, PproD - WT",1.9 × 10^-6,build/statistics/Figure_6/B/Figure_6B_paired_statistics.csv,"the exact_p_value column of that comparison row, to two significant figures"
